Moves: 89
States created total: 12,290
Unique visited total: 4,938
Reached duplicates total: 7,253
Created but not reached total: 99

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             2              2              0              0
2:             4              2              2              0
3:             4              2              2              0
4:             3              3              0              0
5:             6              4              2              0
6:             8              5              3              0
7:             10             6              4              0
8:             15             8              7              0
9:             14             7              7              0
10:            18             10             8              0
11:            20             9              11             0
12:            22             13             9              0
13:            28             14             14             0
14:            35             21             14             0
15:            48             22             26             0
16:            57             27             30             0
17:            58             23             35             0
18:            60             27             33             0
19:            59             21             38             0
20:            51             20             31             0
21:            40             16             24             0
22:            39             20             19             0
23:            46             22             24             0
24:            53             23             30             0
25:            54             24             30             0
26:            60             28             32             0
27:            62             25             37             0
28:            68             30             38             0
29:            62             24             38             0
30:            62             32             30             0
31:            73             29             44             0
32:            76             38             38             0
33:            83             36             47             0
34:            91             42             49             0
35:            90             39             51             0
36:            103            53             50             0
37:            118            53             65             0
38:            140            66             74             0
39:            149            66             83             0
40:            168            83             85             0
41:            194            83             111            0
42:            220            104            116            0
43:            242            101            141            0
44:            264            115            149            0
45:            268            108            160            0
46:            275            121            154            0
47:            289            117            172            0
48:            298            130            168            0
49:            317            128            189            0
50:            320            131            189            0
51:            316            127            189            0
52:            329            140            189            0
53:            339            128            211            0
54:            331            127            204            0
55:            307            116            191            0
56:            294            120            174            0
57:            294            111            183            0
58:            291            115            176            0
59:            285            108            177            0
60:            284            113            171            0
61:            273            97             176            0
62:            258            98             160            0
63:            239            85             154            0
64:            231            91             140            0
65:            226            84             142            0
66:            226            91             135            0
67:            223            83             140            0
68:            222            91             131            0
69:            223            83             140            0
70:            224            86             138            0
71:            210            72             138            0
72:            190            73             117            0
73:            182            67             115            0
74:            180            73             107            0
75:            184            71             113            0
76:            182            71             111            0
77:            175            61             114            0
78:            152            49             100            3
79:            125            44             74             7
80:            113            33             66             14
81:            86             30             45             11
82:            77             24             41             12
83:            62             18             34             10
84:            47             10             22             15
85:            26             8              10             8
86:            23             3              10             10
87:            9              1              2              6
88:            3              1              0              2
89:            2              1              0              1
