dllldddLLDllUlluuurRRRRRRRRRRRurDllllllldddlldlluUUddlluuurRRRRRRRRRRRdRRlUllllllldddlldlddlUUUUUddlluuurRRRRRRRRRRRRllllllldddllLdddrUUllUUUddlluuurRRRRRRRRRRRuRRlDllllllldddlLLdlUUUddlluuurRRRRRRRRRRRdRURlllllllllllllldlluRRRRRRRRRRRRRRRluR
Moves: 242
Pushes: 104
States created total: 40,238,458
Unique visited total: 8,552,878
Reached duplicates total: 31,292,378
Created but not reached total: 393,202

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             0              0              0              0
2:             0              0              0              0
3:             0              0              0              0
4:             0              0              0              0
5:             0              0              0              0
6:             0              0              0              0
7:             0              0              0              0
8:             2              2              0              0
9:             2              2              0              0
10:            1              1              0              0
11:            1              1              0              0
12:            1              1              0              0
13:            3              3              0              0
14:            3              3              0              0
15:            4              4              0              0
16:            7              7              0              0
17:            4              4              0              0
18:            7              7              0              0
19:            18             17             1              0
20:            17             16             1              0
21:            24             24             0              0
22:            30             26             4              0
23:            47             42             5              0
24:            58             46             12             0
25:            77             61             16             0
26:            85             67             18             0
27:            117            92             25             0
28:            135            105            30             0
29:            182            141            41             0
30:            209            150            59             0
31:            288            198            90             0
32:            302            210            92             0
33:            403            270            133            0
34:            442            292            150            0
35:            577            389            188            0
36:            600            400            200            0
37:            859            555            304            0
38:            891            575            316            0
39:            1,202          743            459            0
40:            1,218          757            461            0
41:            1,663          983            680            0
42:            1,617          967            650            0
43:            2,291          1,293          998            0
44:            2,181          1,236          945            0
45:            3,030          1,652          1,378          0
46:            2,967          1,621          1,346          0
47:            3,953          2,109          1,844          0
48:            3,856          2,054          1,802          0
49:            5,092          2,595          2,497          0
50:            4,897          2,508          2,389          0
51:            6,457          3,196          3,261          0
52:            6,236          3,075          3,161          0
53:            8,088          3,899          4,189          0
54:            7,832          3,746          4,086          0
55:            10,002         4,710          5,292          0
56:            9,802          4,548          5,254          0
57:            12,246         5,638          6,608          0
58:            12,078         5,484          6,594          0
59:            14,963         6,720          8,243          0
60:            14,675         6,517          8,158          0
61:            18,050         7,905          10,145         0
62:            17,817         7,761          10,056         0
63:            21,710         9,340          12,370         0
64:            21,363         9,146          12,217         0
65:            25,905         10,907         14,998         0
66:            25,411         10,655         14,756         0
67:            30,752         12,695         18,057         0
68:            30,293         12,416         17,877         0
69:            36,284         14,710         21,574         0
70:            35,795         14,442         21,353         0
71:            42,886         17,127         25,759         0
72:            42,167         16,699         25,468         0
73:            50,428         19,756         30,672         0
74:            49,301         19,132         30,169         0
75:            58,991         22,677         36,314         0
76:            57,714         22,002         35,712         0
77:            68,612         25,597         43,015         0
78:            66,821         24,779         42,042         0
79:            79,297         28,659         50,638         0
80:            77,018         27,751         49,267         0
81:            90,335         31,533         58,802         0
82:            87,510         30,449         57,061         0
83:            102,127        34,453         67,674         0
84:            98,986         33,395         65,591         0
85:            114,616        37,380         77,236         0
86:            110,603        36,210         74,393         0
